Title,Kaltmiete zzgl. Nebenkosten (€/month),Warmmiete (€/month),Nebenkosten (€/month),Heizkosten_1 (€/month),Heizkosten_2 (€/month),Miete pro Stellplatz (€/month),Rooms_number,Surface Area (m^2),Floor,Zip Code,pics_number,energy_efficiency,Year of Construction,Condition,Price per sqm,Real Estate 3,Bezirk,Multiple floors,Deposit,lim_inhabitants,balcony,furnished,garden,Terrasse,pets_allowed,Garage,shower,bath,Einbaukueche,kitchenette,lift,open kitchen,basement,window in bathroom,WG-geeignet,Wohnen auf Zeit in title,nur mit Wohnberechtigungsschein in title,availability_date,days_until_available,Heating_Elektro,Heating_Fernwaerme,Heating_Gas,Heating_Oel,Heating_Luft-/Wasser-Waermepumpe,Heating_Blockheizkraftwerk,Heating_Solar,Heating_Erdwaerme,Heatingsys_Zentralheizung,Heatingsys_Fussbodenheizung,Heatingsys_Etagenheizung,time_lim (in months),accessible,Floor_cov_Parkett,Floor_cov_Fliesen,Floor_cov_Laminat,Floor_cov_Holzdielen,Floor_cov_Kunststoff,Floor_cov_Linoleum,Floor_cov_Stein,district_name
Studio zur Miete,2070.0,2546.0,476.0,in Nebenkosten enthalten,,,4.0,117.0,1.0,10965,26.0,,,neuwertig,17.69,Ukio Germany,Friedrichshain-Kreuzberg,False,2000.0,False,True,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,2025-02-12,0.0,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Schöneberg
Wohnung zur Miete,1232.44,1507.44,195.0,,80.0,,2.0,64.0,7.0,13403,23.0,2.0,Neubau,,19.17,Gewobag Wohnungsbau  Aktiengesellschaft Berlin,Reinickendorf,False,3697.32,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2025-02-12,0.0,True,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Reinickendorf
Wohnung zur Miete,1415.0,1795.0,380.0,in Warmmiete enthalten,,80.0,3.0,83.0,0.0,13158,15.0,2.0,Neubau,neuwertig,16.99,Müller Merkle Immobilien GmbH,Pankow,False,4245.0,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,2025-02-12,0.0,False,True,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,False,Rosenthal
Wohnung zur Miete,1100.0,1300.0,,in Warmmiete enthalten,,,1.5,35.0,,10777,8.0,,,,31.43,Privater Anbieter,Tempelhof-Schöneberg,False,3000.0,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,2025-02-12,0.0,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Wilmersdorf
Wohnung zur Miete,1289.79,1550.0,,in Nebenkosten enthalten,,150.0,2.0,51.0,6.5,10785,14.0,,Neubau,neuwertig,25.29,Privater Anbieter,Friedrichshain-Kreuzberg,True,3100.0,False,True,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,,,False,True,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,Tiergarten
Wohnung zur Miete,1550.0,2230.0,340.0,,340.0,,2.0,87.0,,13469,11.0,2.0,,,17.82,IMMOBERLIN Inhaber Carsten D. Topel,Reinickendorf,False,,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2025-02-12,0.0,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Wittenau
Wohnung zur Miete,,1690.0,,,,,2.0,54.0,1.0,10247,8.0,,,,31.296296296296298,HOMELIKE INTERNET GmbH,Friedrichshain-Kreuzberg,False,1800.0,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,2025-05-01,78.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Friedrichshain
Wohnung zur Miete,,1550.0,,,,,3.0,52.0,1.0,10627,22.0,,,,29.807692307692307,HOMELIKE INTERNET GmbH,Charlottenburg-Wilmersdorf,False,2400.0,True,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,True,False,2025-03-01,17.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Charlottenburg
Wohnung zur Miete,,1145.0,,,,,2.0,30.0,1.0,12247,10.0,,,,38.16666666666666,HOMELIKE INTERNET GmbH,Steglitz-Zehlendorf,False,1500.0,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,2025-05-01,78.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Steglitz
Wohnung zur Miete,,1168.0,,,,,2.0,29.0,1.0,12247,6.0,,,,40.27586206896552,HOMELIKE INTERNET GmbH,Steglitz-Zehlendorf,False,1500.0,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,2025-05-01,78.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Steglitz
Studio zur Miete,1435.0,1780.0,345.0,in Nebenkosten enthalten,,,2.0,75.0,4.0,10439,22.0,,,neuwertig,19.13,Ukio Germany,Pankow,False,2000.0,False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,2025-02-12,0.0,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Prenzlauer Berg
Wohnung zur Miete,,1605.0,,,,,1.0,25.0,1.0,10777,6.0,,,,64.2,HOMELIKE INTERNET GmbH,Tempelhof-Schöneberg,False,1700.0,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,2025-05-01,78.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Schöneberg
Maisonette zur Miete,8073.03,9658.03,1583.0,in Warmmiete enthalten,,,4.0,218.0,,14195,9.0,,Neubau,Erstbezug,37.0,reco Immobilienbüro Petra Hubertus,Charlottenburg-Wilmersdorf,False,24219.09,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,2025-02-12,0.0,False,False,False,False,True,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Wannsee
Studio zur Miete,2095.0,2700.0,605.0,in Nebenkosten enthalten,,,3.0,85.0,6.0,10245,28.0,,,neuwertig,24.65,Ukio Germany,Friedrichshain-Kreuzberg,False,2000.0,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,2025-02-12,0.0,True,False,False,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Alt-Treptow
Studio zur Miete,1257.55,1485.05,130.0,,97.5,,2.0,65.0,,13127,15.0,,Neubau,,18.72,OWNR Deutschland GmbH,Pankow,False,3650.94,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2025-02-12,0.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Niederschönhausen
Wohnung zur Miete,,1990.0,,,,,2.0,35.0,4.0,10405,12.0,,,,56.85714285714285,HOMELIKE INTERNET GmbH,Pankow,False,2000.0,True,False,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,2025-05-01,78.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Prenzlauer Berg
Wohnung zur Miete,1609.75,1859.75,150.0,,100.0,,2.0,64.0,0.0,10585,18.0,1.0,Neubau,neuwertig,25.0,other,Charlottenburg-Wilmersdorf,False,4829.25,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,2025-02-12,0.0,False,True,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,False,Charlottenburg
Wohnung zur Miete,646.8,781.45,70.0,,60.0,,2.0,55.0,1.0,12559,8.0,4.0,Neubau,Gepflegt,11.76,Adler Group,Treptow-Köpenick,False,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2025-03-01,17.0,False,True,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Köpenick
Wohnung zur Miete,1584.0,1785.0,129.0,,72.0,,2.0,64.0,0.0,10719,12.0,,Neubau,neuwertig,24.58,other,Charlottenburg-Wilmersdorf,False,4752.0,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,2025-02-12,0.0,False,True,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,False,Wilmersdorf
Wohnung zur Miete,828.92,1020.68,143.0,,48.0,,2.0,48.0,8.0,10319,8.0,1.0,Neubau,,17.0,Gewobag Wohnungsbau  Aktiengesellschaft Berlin,Lichtenberg-Hohenschönhausen,False,2486.76,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,2025-02-12,0.0,False,True,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False,False,False,Friedrichsfelde
Wohnung zur Miete,,1590.0,,,,,1.0,29.0,4.0,10119,8.0,,,,54.82758620689656,HOMELIKE INTERNET GmbH,Mitte,False,1590.0,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,2025-04-30,77.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Mitte
Wohnung zur Miete,922.0,1120.0,84.0,,114.0,,2.0,56.0,5.0,12557,20.0,1.0,Neubau,neuwertig,16.46,other,Treptow-Köpenick,False,2766.0,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,2025-03-01,17.0,False,False,False,False,False,True,False,False,False,True,False,,False,False,False,True,False,False,False,False,Köpenick
Wohnung zur Miete,,2890.0,,,,,4.0,79.0,3.0,14059,16.0,,,,36.58227848101266,HOMELIKE INTERNET GmbH,Charlottenburg-Wilmersdorf,False,2890.0,True,False,True,False,False,True,False,True,True,True,True,False,False,False,False,False,True,False,2025-05-01,78.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Charlottenburg
Wohnung zur Miete,1350.0,1570.0,220.0,in Warmmiete enthalten,,130.0,2.0,61.0,1.0,12159,15.0,2.0,Neubau,Erstbezug,21.8,Müller Merkle Immobilien GmbH,Tempelhof-Schöneberg,False,4050.0,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,2025-03-01,17.0,False,True,False,False,False,False,False,False,False,False,False,,True,False,False,False,False,False,False,False,Friedenau
Wohnung zur Miete,,1295.0,,,,,1.0,26.0,3.0,10249,7.0,3.0,Neubau,neuwertig,49.80769230769231,von Velsen Immobilien,Friedrichshain-Kreuzberg,False,1295.0,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,2025-08-16,185.0,False,True,False,False,False,False,False,False,False,True,False,,True,False,False,False,False,False,False,False,Friedrichshain
Wohnung zur Miete,4408.39,5092.13,683.74,in Warmmiete enthalten,,,5.0,186.0,,13086,10.0,,Altbau,neuwertig,23.58,reco Immobilienbüro Petra Hubertus,Pankow,False,13225.17,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,2025-02-12,0.0,False,False,True,False,False,False,False,False,True,False,False,,False,False,False,False,False,False,False,False,Weißensee
Wohnung zur Miete,,944.0,,,,,1.0,27.0,3.0,10557,17.0,,,,34.96296296296296,HOMELIKE INTERNET GmbH,Mitte,False,1124.0,True,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,2025-02-12,0.0,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False,False,False,Moabit
