Title,Kaltmiete zzgl. Nebenkosten,Warmmiete,Nebenkosten,Heizkosten_1,Heizkosten_2,Miete pro Stellplatz,Rooms_number,Surface Area,Floor,availability,Zip Code,Additional Price Info,pics_number,energy_efficiency,Year of Construction,Condition,Heating type,Heating system,Price per sqm,Caution 1,Caution 2,Merkmale_1,Merkmale_2,Merkmale_3,Merkmale_4,Merkmale_5,Merkmale_6,Merkmale_7,Merkmale_8
Wohnung zur Miete · Wohnen auf Zeit,,1.790 €/Monat,,,,,2,54 m²,,ab sofort,13353,,1 / 22,,,,,,,"3.360,00",,"Einbauküche, Kochnische",Frei ab sofort,möbliert,2. Geschoss,Bad mit Dusche,max. 2 Personen,,
Studio zur Miete,,3.066 €,516 €,in Warmmiete enthalten,,,2,105 m²,4.,Fahrtzeitberechnung,10557,"Nettokaltmiete: 2.550,00 EUR",1 / 23,B,2024.0,neuwertig,,Fußbodenheizung,"24,29 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,ab sofort,Balkon,Stellplatz,Kelleranteil,4. Geschoss,"Bodenbelag: Fliesen, Parkett"
Wohnung zur Miete · Wohnen auf Zeit,,2.500 €/Monat,,in Warmmiete enthalten,,,3,85 m²,,ab sofort,10709,,1 / 10,,,Gepflegt,,,,7.500 €,,Einbauküche,Frei ab sofort,Balkon,möbliert,3. Geschoss,Badewanne,max. 4 Personen,6 Monate
Wohnung zur Miete · Wohnen auf Zeit,,1.095 €/Monat,,,,,11,"18,8 m²",,17.02.2025,10115,,1 / 15,,,,,,,"1.642,50",,"Einbauküche, Kochnische",frei ab 17.02.2025,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.890 €/Monat,,,,,2,52 m²,,01.04.2025,12489,,1 / 12,,,,,,,"2.000,00",,"Einbauküche, Kochnische",frei ab 01.04.2025,möbliert,2. Geschoss,Bad mit Dusche,max. 2 Personen,,
Wohnung zur Miete,,2.700 €,,in Warmmiete enthalten,,,3,EG,,Fahrtzeitberechnung,10439,,1 / 25,,,,,,,,2.700 €,Einbauküche,möbliert,Erdgeschoss,Barrierefrei,"Badezimmer: Badewanne, Bad mit Dusche, Bad mit Fenster",WG-geeignet,max. 4 Personen,2 Monate
Wohnung zur Miete · Wohnen auf Zeit,,2.354 €/Monat,,,,,2,42 m²,,02.04.2025,13156,,1 / 14,,,,,,,"2.400,00",,"Einbauküche, Kochnische",frei ab 02.04.2025,Haustiere erlaubt,möbliert,3. Geschoss,Bad mit Dusche,max. 2 Personen,
Wohnung zur Miete,1.250 €,1.528 €,278 €,in Nebenkosten enthalten,,,2,47 m²,4.,ab sofort,12459,,1 / 8,,2016.0,Neubau,,Fußbodenheizung,"26,60 Euro pro Quadratmeter",,3.750 €,Offene Küche,Personenaufzug,Balkon,4. Geschoss,"Barrierefrei, Rollstuhlgerecht",Bad mit Dusche,Waschraum,Empfang
Wohnung zur Miete,,,"306,08 €",,"182.4 €182,40 €",,5,"120,9 m²",EG,Fahrtzeitberechnung,12627,,1 / 11,B,2024.0,,Fernwärme,Fußbodenheizung,"14,08 Euro pro Quadratmeter","5.105,34",,Personenaufzug,sofort,Terrasse,Kelleranteil,Erdgeschoss,"Badezimmer: Badewanne, Bad mit Dusche",,
Studio zur Miete,,1.716 €,286 €,in Warmmiete enthalten,,110 €110 €,2,73 m²,,Fahrtzeitberechnung,13629,"Nettokaltmiete: 1.430,00 EUR",1 / 19,A,2024.0,neuwertig,Fernwärme,Zentralheizung: Fußbodenheizung,"19,59 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,ab sofort,Balkon,"2 Stellplätze: Außen-Stellplatz, Tiefgarage",Kelleranteil,"Bodenbelag: Fliesen, Parkett",
Wohnung zur Miete · Wohnen auf Zeit,,3.000 €/Monat,,in Warmmiete enthalten,,,5,85 m²,,02.04.2025,12557,,1 / 28,,,neuwertig,,,,,3.000 €,Einbauküche,frei ab 02.04.2025,möbliert,Bad mit Dusche,max. 7 Personen,2 Monate,,
Wohnung zur Miete,,3.200 €,,in Warmmiete enthalten,,,5,70 m²,2.,ab sofort,13189,,1 / 20,,,,,,,,3.200 €,vermietet,Einbauküche,Frei ab sofort,möbliert,2. Geschoss,Badewanne,WG-geeignet,max. 5 Personen
Wohnung zur Miete · Wohnen auf Zeit,,655 €/Monat,,,,,5,"12,9 m²",,17.02.2025,13349,,1 / 11,,,,,,,,"982,50 €","Einbauküche, Kochnische",frei ab 17.02.2025,möbliert,2. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.700 €/Monat,,,,,1,46 m²,,01.04.2025,10623,,1 / 16,,,,,,,"1.000,00",,"Einbauküche, Offene Küche",frei ab 01.04.2025,möbliert,3. Geschoss,Badewanne,max. 2 Personen,,
Wohnung zur Miete · Wohnen auf Zeit,,1.350 €/Monat,,,,,1,27 m²,,01.04.2025,10243,,1 / 6,,,,,,,"1.000,00",,"Einbauküche, Offene Küche",frei ab 01.04.2025,möbliert,1. Geschoss,"Badezimmer: Badewanne, Bad mit Dusche",max. 1 Person,,
Wohnung zur Miete · Wohnen auf Zeit,,666 €/Monat,,,,,5,14 m²,,21.04.2025,10557,,1 / 11,,,,,,,,999 €,"Einbauküche, Kochnische",frei ab 21.04.2025,möbliert,3. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Penthouse zur Miete,2.360 €,2.750 €,390 €,in Nebenkosten enthalten,,,4,131 m²,2.,ab sofort,13587,,1 / 11,A+,2021.0,Neubau,"Gas, Solar",Fußbodenheizung,18 Euro pro Quadratmeter,3 Kaltmieten,,Erstbezug,Balkon,Haustiere erlaubt,Außen-Stellplatz,2. Geschoss,"Badezimmer: Badewanne, Bad mit Dusche, Bad mit Fenster","Bodenbelag: Fliesen, Parkett",Fenster: Kunststoff
Wohnung zur Miete · Wohnen auf Zeit,,1.600 €/Monat,,in Warmmiete enthalten,,,2,35 m²,,ab sofort,13353,,1 / 22,,,,,,,1.800€,,Einbauküche,Frei ab sofort,möbliert,Bad mit Dusche,max. 2 Personen,2 Monate,,
Studio zur Miete,,1.894 €,304 €,in Warmmiete enthalten,,110 €110 €,3,80 m²,,Fahrtzeitberechnung,13629,"Nettokaltmiete: 1.590,00 EUR",1 / 17,A,2024.0,neuwertig,Fernwärme,Zentralheizung: Fußbodenheizung,"19,88 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,ab sofort,Balkon,"2 Stellplätze: Außen-Stellplatz, Tiefgarage",Kelleranteil,"Bodenbelag: Fliesen, Parkett",
Studio zur Miete,,5.520 €,,nicht in Warmmiete enthalten,,,3,138 m²,5.,Fahrtzeitberechnung,13347,"Nettokaltmiete: 4.900,00 EUR",1 / 17,C,1905.0,neuwertig,Fernwärme,Zentralheizung: Fußbodenheizung,"35,51 Euro pro Quadratmeter",keine Angabe,,Einbauküche,möbliert,5. Geschoss,Bodenbelag: Fliesen,,,,
Maisonette zur Miete,1.349 €,1.588 €,167 €,,72 €72 €,,2,"59,6 m²",EG,ab sofort,12159,,1 / 16,B,2023.0,Erstbezug,Fernwärme,Fußbodenheizung,"22,62 Euro pro Quadratmeter",,4.047 €,Einbauküche,Personenaufzug,Frei ab sofort,Balkon,Garten,Erdgeschoss,Bad mit Dusche,
Wohnung zur Miete · Wohnen auf Zeit,,1.750 €/Monat,,,,,2,69 m²,,01.04.2025,12163,,1 / 12,,,,,,,"1.750,00",,"Einbauküche, Kochnische",frei ab 01.04.2025,möbliert,2. Geschoss,"Badezimmer: Badewanne, Bad mit Dusche",max. 2 Personen,,
Studio zur Miete,,1.606 €,256 €,in Warmmiete enthalten,,,2,52 m²,1.,Fahrtzeitberechnung,10557,"Nettokaltmiete: 1.350,00 EUR",1 / 17,B,2024.0,neuwertig,,Fußbodenheizung,"25,96 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,ab sofort,Balkon,Stellplatz,Kelleranteil,1. Geschoss,"Bodenbelag: Fliesen, Parkett"
Wohnung zur Miete · Wohnen auf Zeit,,3.500 €/Monat,,in Warmmiete enthalten,,,3,75 m²,,ab sofort,10439,,1 / 27,,,,,,,,3.500 €,Einbauküche,Frei ab sofort,Garten,möbliert,"Badezimmer: Badewanne, Bad mit Dusche",WG-geeignet,max. 5 Personen,
Wohnung zur Miete · Wohnen auf Zeit,,1.350 €/Monat,,,,,2,"47,2 m²",,ab sofort,10247,,1 / 16,,2013.0,neuwertig,,Zentralheizung,,zwei Warmendmieten,,Einbauküche,Personenaufzug,Frei ab sofort,möbliert,1. Geschoss,Bad mit Dusche,max. 2 Personen,6 Monate
Studio zur Miete,,3.050 €,550 €,in Warmmiete enthalten,,200 €200 €,2,83 m²,6.,Fahrtzeitberechnung,10117,"Nettokaltmiete: 2.500,00 EUR",1 / 17,A+,2023.0,neuwertig,,Fußbodenheizung,"30,12 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,ab sofort,Balkon,Tiefgarage,Kelleranteil,möbliert,6. Geschoss
Wohnung zur Miete,,3.175 €,,,125 €125 €,,4,98 m²,4.,ab sofort,10179,"Nettokaltmiete: 2.925,00 EUR",1 / 7,D,1995.0,renoviert / saniert,,Zentralheizung,"29,85 Euro pro Quadratmeter",3-fache Miete,,Frei ab sofort,Terrasse,Kelleranteil,4. Geschoss,Bodenbelag: Parkett,,,
Studio zur Miete,,3.475 €,575 €,in Warmmiete enthalten,,,4,117 m²,2.,Fahrtzeitberechnung,10557,"Nettokaltmiete: 2.900,00 EUR",1 / 24,B,2024.0,neuwertig,,Fußbodenheizung,"24,79 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,ab sofort,Balkon,Stellplatz,Kelleranteil,2. Geschoss,"Bodenbelag: Fliesen, Parkett"
Wohnung zur Miete · Wohnen auf Zeit,,1.380 €/Monat,,in Warmmiete enthalten,,,2,"49,6 m²",,ab sofort,10315,,1 / 18,A,2018.0,neuwertig,"Gas, Solar",Zentralheizung,,"2.800,00",,Personenaufzug,Frei ab sofort,Außen-Stellplatz,6. Geschoss,,,,
Wohnung zur Miete · Wohnen auf Zeit,,793 €/Monat,,,,,7,16 m²,,17.02.2025,12051,,1 / 13,,,,,,,"1.189,50",,"Einbauküche, Kochnische",frei ab 17.02.2025,möbliert,4. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,2.800 €/Monat,,in Warmmiete enthalten,,,2,55 m²,,ab sofort,10115,,1 / 27,,,,,,,,2.800 €,Einbauküche,Frei ab sofort,möbliert,Bad mit Dusche,max. 4 Personen,2 Monate,,
Wohnung zur Miete · Wohnen auf Zeit,,1.350 €/Monat,,,,,1,38 m²,,01.04.2025,13189,,1 / 8,,,,,,,"3.000,00",,"Einbauküche, Kochnische",frei ab 01.04.2025,Haustiere erlaubt,möbliert,Erdgeschoss,Bad mit Dusche,max. 2 Personen,
Studio zur Miete,,1.183 €,183 €,in Warmmiete enthalten,,110 €110 €,1,48 m²,,Fahrtzeitberechnung,13629,"Nettokaltmiete: 1.000,00 EUR",1 / 11,A,2024.0,neuwertig,Fernwärme,Zentralheizung: Fußbodenheizung,"20,83 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,ab sofort,Balkon,"2 Stellplätze: Außen-Stellplatz, Tiefgarage",Kelleranteil,"Bodenbelag: Fliesen, Parkett",
Wohnung zur Miete · Wohnen auf Zeit,,1.890 €/Monat,,,,,1,40 m²,,31.03.2025,12247,,1 / 28,,,,,,,"2.900,00",,"Einbauküche, Kochnische",frei ab 31.03.2025,Haustiere erlaubt,möbliert,2. Geschoss,Bad mit Dusche,max. 2 Personen,
Wohnung zur Miete · Wohnen auf Zeit,,1.605 €/Monat,,,,,1,41 m²,,01.03.2025,10179,,1 / 8,,,,,,,"1.500,00",,"Einbauküche, Offene Küche",frei ab 01.03.2025,Haustiere erlaubt,möbliert,3. Geschoss,Badewanne,max. 2 Personen,
Wohnung zur Miete,,3.800 €,,in Warmmiete enthalten,,,2,100 m²,,ab sofort,10405,,1 / 34,,,,,,,keine Angabe,,Einbauküche,Frei ab sofort,Bad mit Dusche,,,,,
Wohnung zur Miete · Wohnen auf Zeit,,3.800 €/Monat,,in Warmmiete enthalten,,,5,90 m²,,ab sofort,10405,,1 / 40,,,,,,,,3.800 €,Einbauküche,frei ab 01.09.2024 bis 15.04.2025,möbliert,Bad mit Dusche,max. 4 Personen,2 Monate,,
Wohnung zur Miete · Wohnen auf Zeit,,2.100 €/Monat,,in Warmmiete enthalten,,,3,60 m²,,ab sofort,12557,,1 / 19,,,,,,,,3.000 €,Einbauküche,Frei ab sofort,möbliert,Bad mit Dusche,WG-geeignet,max. 4 Personen,2 Monate,
Wohnung zur Miete · Wohnen auf Zeit,,695 €/Monat,,,,,4,"10,2 m²",,17.02.2025,10553,,1 / 14,,,,,,,"1.042,50",,"Einbauküche, Kochnische",frei ab 17.02.2025,möbliert,2. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.600 €/Monat,,,,,2,50 m²,,ab sofort,13351,,1 / 26,,,,,,,"2.500,00",,"Einbauküche, Kochnische",Frei ab sofort,möbliert,2. Geschoss,Bad mit Dusche,max. 2 Personen,,
Studio zur Miete,,2.896 €,496 €,in Warmmiete enthalten,,,2,101 m²,3.,Fahrtzeitberechnung,10557,"Nettokaltmiete: 2.400,00 EUR",1 / 10,,2018.0,neuwertig,Fernwärme,Zentralheizung: Fußbodenheizung,"23,76 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,Balkon,Stellplatz,3. Geschoss,"Bodenbelag: Fliesen, Parkett",,
Wohnung zur Miete · Wohnen auf Zeit,,1.290 €/Monat,,,,,1,24 m²,,01.04.2025,10119,,1 / 8,,,,,,,"1.290,00",,"Einbauküche, Kochnische",frei ab 01.04.2025,möbliert,Erdgeschoss,Bad mit Dusche,max. 2 Personen,,
Studio zur Miete,,3.241 €,511 €,in Warmmiete enthalten,,110 €110 €,4,149 m²,4.,Fahrtzeitberechnung,13629,"Nettokaltmiete: 2.730,00 EUR",1 / 14,A,2024.0,neuwertig,Fernwärme,Zentralheizung: Fußbodenheizung,"18,32 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,ab sofort,"2 Stellplätze: Außen-Stellplatz, Tiefgarage",Kelleranteil,4. Geschoss,"Bodenbelag: Fliesen, Parkett",
Studio zur Miete,,2.643 €,543 €,in Warmmiete enthalten,,,3,111 m²,6.,Fahrtzeitberechnung,10557,"Nettokaltmiete: 2.100,00 EUR",1 / 22,B,2024.0,neuwertig,,Fußbodenheizung,"18,92 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,ab sofort,Balkon,Stellplatz,Kelleranteil,6. Geschoss,"Bodenbelag: Fliesen, Parkett"
Wohnung zur Miete,1.600 €,1.765 €,165 €,in Warmmiete enthalten,,,2,"54,8 m²",2.,Fahrtzeitberechnung,12159,,1 / 16,B,2024.0,Erstbezug,Fernwärme,Zentralheizung,"29,22 Euro pro Quadratmeter","4.800,00 EUR",,Einbauküche,Personenaufzug,Ab Sofort,Balkon,Kelleranteil,2. Geschoss,Barrierefrei,Bad mit Dusche
Wohnung zur Miete · Wohnen auf Zeit,,2.100 €/Monat,,,,,3,60 m²,,09.04.2025,10245,,1 / 13,,,,,,,"4.200,00",,"Einbauküche, Kochnische",frei ab 09.04.2025,möbliert,5. Geschoss,Bad mit Dusche,max. 2 Personen,,
Wohnung zur Miete,,1.980 €,200 €,,100 €100 €,100 €100 €,2,"60,5 m²",2.,ab sofort,10717,"Nettokaltmiete: 1.780,00 EUR",1 / 20,,1961.0,Erstbezug,,Zentralheizung,"29,42 Euro pro Quadratmeter",3-fache Miete,,Personenaufzug,Frei ab sofort,Balkon,Außen-Stellplatz,Kelleranteil,2. Geschoss,Bodenbelag: Parkett,
Wohnung zur Miete · Wohnen auf Zeit,,1.800 €/Monat,,in Warmmiete enthalten,,,1,35 m²,,ab sofort,10437,,1 / 20,,,,,,,,1.800 €,Einbauküche,Frei ab sofort,möbliert,Bad mit Dusche,max. 2 Personen,2 Monate,,
Wohnung zur Miete,1.750 €,2.086 €,192 €,,144 €144 €,,4,96 m²,,Fahrtzeitberechnung,12527,,1 / 7,B,2019.0,Gepflegt,Fernwärme,Fußbodenheizung,"18,23 Euro pro Quadratmeter",,5.250 €,Einbauküche,Personenaufzug,Balkon,Kelleranteil,,,,
Wohnung zur Miete,1.500 €,1.800 €,3 €,in Warmmiete enthalten,,,1,33 m²,EG,ab sofort,10437,,1 / 14,,,neuwertig,,,"45,45 Euro pro Quadratmeter",,2.000 €,Einbauküche,Frei ab sofort,Balkon,Haustiere erlaubt,möbliert,Erdgeschoss,Bad mit Dusche,WG-geeignet
Wohnung zur Miete,,,"202,32 €",,"126.45 €126,45 €",,4,"84,3 m²",1.,ab sofort,12629,,1 / 8,B,2022.0,,Fernwärme,Fußbodenheizung,"15,74 Euro pro Quadratmeter",keine Angabe,,Personenaufzug,Frei ab sofort,Balkon,Kelleranteil,1. Geschoss,Barrierefrei,"Badezimmer: Badewanne, Bad mit Dusche",
Wohnung zur Miete · Tauschwohnung,,,,,390 €390 €,,3,82 m²,4.,Fahrtzeitberechnung,13355,,1 / 1,,,,,Zentralheizung,"5,91 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,Balkon,Terrasse,Haustiere erlaubt,Kelleranteil,4. Geschoss,Badewanne
Wohnung zur Miete,,2.400 €,,in Warmmiete enthalten,,,3,60 m²,3.,ab sofort,10437,,1 / 29,,,renoviert / saniert,,,,,3.000 €,Einbauküche,Personenaufzug,Frei ab sofort,Balkon,3. Geschoss,Bad mit Dusche,WG-geeignet,Bodenbelag: Parkett
Wohnung zur Miete · Wohnen auf Zeit,,1.600 €/Monat,,,,,1,35 m²,,07.04.2025,10717,,1 / 11,,,,,,,"3.800,00",,"Einbauküche, Offene Küche",frei ab 07.04.2025,möbliert,4. Geschoss,Bad mit Dusche,max. 2 Personen,,
Wohnung zur Miete · Wohnen auf Zeit,,2.300 €/Monat,,,,,3,80 m²,,ab sofort,13053,,1 / 23,,,,,,,,2.000 €,Einbauküche,Frei ab sofort,möbliert,Bad mit Dusche,max. 3 Personen,2 Monate,,
Wohnung zur Miete · Tauschwohnung,,,,,120 €120 €,,2,51 m²,5.,Fahrtzeitberechnung,10999,,1 / 10,,,,,,10 Euro pro Quadratmeter,keine Angabe,,Einbauküche,Balkon,Terrasse,Kelleranteil,5. Geschoss,,,
Wohnung zur Miete · Wohnen auf Zeit,,1.498 €/Monat,,,,,1,35 m²,,01.04.2025,10243,,1 / 16,,,,,,,"2.000,00",,"Einbauküche, Offene Küche",frei ab 01.04.2025,möbliert,2. Geschoss,Badewanne,max. 2 Personen,,
Wohnung zur Miete · Wohnen auf Zeit,,818 €/Monat,,,,,4,12 m²,,21.04.2025,10963,,1 / 11,,,,,,,"1.227,00",,"Einbauküche, Kochnische",frei ab 21.04.2025,möbliert,1. Geschoss,Bad mit Dusche,WG-geeignet,max. 1 Person,
Wohnung zur Miete · Wohnen auf Zeit,,1.890 €/Monat,,,,,2,44 m²,,01.04.2025,10179,,1 / 13,,,,,,,"2.000,00",,"Einbauküche, Offene Küche",frei ab 01.04.2025,Haustiere erlaubt,möbliert,4. Geschoss,Bad mit Dusche,max. 2 Personen,
Wohnung zur Miete,1.331 €,1.571 €,240 €,in Nebenkosten enthalten,,,2,78 m²,1.,ab sofort,13587,,1 / 10,A+,2021.0,Neubau,"Gas, Solar",Fußbodenheizung,17 Euro pro Quadratmeter,3 Kaltmieten,,Erstbezug,Balkon,Haustiere erlaubt,Außen-Stellplatz,1. Geschoss,"Badezimmer: Badewanne, Bad mit Dusche, Bad mit Fenster","Bodenbelag: Fliesen, Parkett",Fenster: Kunststoff
Studio zur Miete,,2.740 €,440 €,in Warmmiete enthalten,,,2,68 m²,5.,Fahrtzeitberechnung,10117,"Nettokaltmiete: 2.300,00 EUR",1 / 19,B,2024.0,neuwertig,Fernwärme,Zentralheizung: Fußbodenheizung,"33,82 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,ab sofort,Balkon,Kelleranteil,möbliert,5. Geschoss,"Bodenbelag: Fliesen, Parkett"
Wohnung zur Miete · Wohnen auf Zeit,,1.235 €/Monat,,,,,1,39 m²,,25.03.2025,12247,,1 / 6,,,,,,,"1.500,00",,"Einbauküche, Offene Küche",frei ab 25.03.2025,möbliert,1. Geschoss,Bad mit Dusche,max. 1 Person,,
Studio zur Miete,,2.081 €,331 €,in Warmmiete enthalten,,,2,68 m²,3.,Fahrtzeitberechnung,10557,"Nettokaltmiete: 1.750,00 EUR",1 / 19,B,2024.0,neuwertig,,Fußbodenheizung,"25,74 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,ab sofort,Balkon,Stellplatz,Kelleranteil,3. Geschoss,"Bodenbelag: Fliesen, Parkett"
Wohnung zur Miete,1.980 €,2.130 €,,,150 €150 €,,2,65 m²,1.,Fahrtzeitberechnung,10115,,1 / 11,C,1905.0,"Massivhaus, renoviert / saniert","Fernwärme, Gas",,"30,46 Euro pro Quadratmeter",keine Angabe,,Einbauküche,möbliert,1. Geschoss,"Bodenbelag: Fliesen, Laminat",,,,
Wohnung zur Miete · Wohnen auf Zeit,,2.000 €/Monat,,in Warmmiete enthalten,,,2,45 m²,,ab sofort,10245,,1 / 17,,,,,,,,2.000 €,Einbauküche,Frei ab sofort,möbliert,Bad mit Dusche,max. 12 Personen,,,
Wohnung zur Miete · Wohnen auf Zeit,,2.022 €/Monat,,,,,3,54 m²,,06.04.2025,14057,,1 / 35,,,,,,,"1.890,00",,"Einbauküche, Kochnische",frei ab 06.04.2025,möbliert,Erdgeschoss,Bad mit Dusche,max. 2 Personen,,
Wohnung zur Miete · Wohnen auf Zeit,,1.350 €/Monat,,,,,1,45 m²,,01.04.2025,12105,,1 / 15,,,,,,,"2.000,00",,"Einbauküche, Kochnische",frei ab 01.04.2025,möbliert,Erdgeschoss,Badewanne,max. 2 Personen,,
Wohnung zur Miete · Wohnen auf Zeit,,895 €/Monat,,,,,1,21 m²,,17.02.2025,10247,,1 / 11,,,,,,,"2.970,00",,"Einbauküche, Offene Küche",frei ab 17.02.2025,möbliert,3. Geschoss,Bad mit Dusche,max. 1 Person,,
Terrassenwohnung zur Miete,1.357 €,1.597 €,240 €,in Nebenkosten enthalten,,,2,79 m²,EG,ab sofort,13587,,1 / 13,A+,2021.0,Neubau,"Gas, Solar",Fußbodenheizung,17 Euro pro Quadratmeter,3 Kaltmieten,,Erstbezug,Balkon,Haustiere erlaubt,Außen-Stellplatz,Erdgeschoss,"Badezimmer: Badewanne, Bad mit Dusche, Bad mit Fenster","Bodenbelag: Fliesen, Parkett",Fenster: Kunststoff
Wohnung zur Miete,1.500 €,1.790 €,,,290 €290 €,,3,87 m²,,Fahrtzeitberechnung,13405,,1 / 7,E,1910.0,renoviert / saniert,Öl,Etagenheizung,"17,24 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Kelleranteil,"Badezimmer: Bad mit Dusche, Bad mit Fenster",,,,,
Wohnung zur Miete,2.500 €,3.300 €,,in Warmmiete enthalten,,,4,105 m²,EG,ab sofort,13353,,1 / 15,,,,,,"23,81 Euro pro Quadratmeter",,3.500 €,Einbauküche,Frei ab sofort,möbliert,Erdgeschoss,Badewanne,max. 4 Personen,2 Monate,
Wohnung zur Miete · Wohnen auf Zeit,,1.350 €/Monat,,,,,1,41 m²,,07.04.2025,12105,,1 / 32,,,,,,,"2.000,00",,"Einbauküche, Kochnische",frei ab 07.04.2025,möbliert,2. Geschoss,"Badezimmer: Badewanne, Bad mit Dusche",max. 1 Person,,
Wohnung zur Miete,"2.621,75 €","2.831,50 €","209,75 €",in Warmmiete enthalten,,,3,105 m²,2.,Fahrtzeitberechnung,10627,,1 / 15,C,2021.0,neuwertig,Fernwärme,,"24,97 Euro pro Quadratmeter","€ 7.865,25",,Einbauküche,Personenaufzug,ab 01.11.2024,2. Geschoss,"Badezimmer: Bad mit Dusche, Bad mit Fenster",,,
Wohnung zur Miete,,3.100 €,,in Warmmiete enthalten,,,2,70 m²,,31.05.2025,10405,,1 / 24,,,,,,,,3.100 €,Einbauküche,frei ab 31.05.2025,möbliert,Bad mit Dusche,max. 4 Personen,2 Monate,,
Wohnung zur Miete · Wohnen auf Zeit,,2.000 €/Monat,,in Warmmiete enthalten,,,2,40 m²,,04.04.2025,13156,,1 / 14,,,,,,,,2.000 €,Einbauküche,frei ab 04.04.2025,möbliert,Bad mit Dusche,max. 2 Personen,2 Monate,,
Wohnung zur Miete · Wohnen auf Zeit,,1.290 €/Monat,,,,,1,24 m²,,31.03.2025,10119,,1 / 8,,,,,,,"1.290,00",,"Einbauküche, Kochnische",frei ab 31.03.2025,möbliert,2. Geschoss,Bad mit Dusche,max. 2 Personen,,
Wohnung zur Miete · Wohnen auf Zeit,,2.790 €/Monat,,,,,3,70 m²,,01.04.2025,12047,,1 / 31,,,,,,,"3.500,00",,"Einbauküche, Kochnische",frei ab 01.04.2025,Haustiere erlaubt,möbliert,1. Geschoss,Bad mit Dusche,max. 4 Personen,
Wohnung zur Miete,,3.135 €,,,160 €160 €,,3,109 m²,,Fahrtzeitberechnung,12527,"Nettokaltmiete: 2.398,00 EUR",1 / 15,B,2024.0,"Neubau, Erstbezug",Gas,Zentralheizung,22 Euro pro Quadratmeter,"8.175,00",,Einbauküche,Personenaufzug,ab sofort,Kelleranteil,,,,
Wohnung zur Miete · Wohnen auf Zeit,,1.550 €/Monat,,,,,2,40 m²,,01.04.2025,12045,,1 / 14,,,,,,,"3.100,00",,"Einbauküche, Kochnische",frei ab 01.04.2025,möbliert,1. Geschoss,Bad mit Dusche,max. 2 Personen,,
Wohnung zur Miete,2.800 €,3.500 €,,,700 €700 €,,5,205 m²,4.,Fahrtzeitberechnung,10719,,1 / 1,,,,,,"13,66 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,sofort,4. Geschoss,Loggia,,,
Studio zur Miete,,3.359 €,,nicht in Warmmiete enthalten,,,3,97 m²,,Fahrtzeitberechnung,10965,"Nettokaltmiete: 2.990,00 EUR",1 / 21,B,2023.0,,"Gas, Luft-/Wasser-Wärmepumpe",Zentralheizung: Fußbodenheizung,"30,82 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,nach Vereinbarung,Balkon,Kelleranteil,"Bodenbelag: Fliesen, Parkett",Denkmalschutz-Afa,
Studio zur Miete,,2.604 €,404 €,in Warmmiete enthalten,,,2,82 m²,7.,Fahrtzeitberechnung,10557,"Nettokaltmiete: 2.200,00 EUR",1 / 23,B,2024.0,neuwertig,,Fußbodenheizung,"26,83 Euro pro Quadratmeter",keine Angabe,,Einbauküche,Personenaufzug,ab sofort,Balkon,Stellplatz,Kelleranteil,7. Geschoss,"Bodenbelag: Fliesen, Parkett"
Wohnung zur Miete,"1.283,85 €","1.567,85 €",284 €,,95 €95 €,,2,"62,7 m²",3.,ab sofort,10318,,1 / 10,,,,,,"20,47 Euro pro Quadratmeter",3 Kaltmieten,,Einbauküche,Personenaufzug,Sofort,3. Geschoss,Bodenbelag: Laminat,Loggia,,
Wohnung zur Miete · Wohnen auf Zeit,,990 €/Monat,,,,,5,"19,7 m²",,17.02.2025,12159,,1 / 8,,,,,,,"1.200,00",,"Einbauküche, Offene Küche",frei ab 17.02.2025,möbliert,Bad mit Dusche,WG-geeignet,max. 1 Person,,
